id,name,brewery_type,street,city,state,postal_code,country,longitude,latitude,phone,website_url,updated_at,created_at
bnaf-llc-austin,"Bnaf, LLC",planning,,Austin,Texas,78727-7602,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
boulder-beer-co-boulder,Boulder Beer Co,regional,2880 Wilderness Pl,Boulder,Colorado,80301-5401,United States,"-105,2480158","40,026439",,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
clermont-brewing-company-clermont,Clermont Brewing Company,planning,,Clermont,Florida,34711-2108,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
dimensional-brewing-co-dubuque,Dimensional Brewing Co.,planning,,Dubuque,Iowa,52001,United States,,,,http://www.dimensionalbrewing.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
dixie-brewing-co-inc-new-orleans,Dixie Brewing Co Inc.,contract,6221 S Claiborne Ave Ste 101,New Orleans,Louisiana,70125-4191,United States,,,5048228711,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
epidemic-ales-concord,Epidemic Ales,micro,150 Mason Circle Stes I&J,Concord,California,94520,United States,,,9255668850,http://www.epidemicales.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
goose-island-philadelphia-philadelphia,Goose Island Philadelphia,brewpub,1002 Canal St,Philadelphia,Pennsylvania,19123,United States,"-75,13506341","39,9648491",,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
grits-brewing-chamblee,GRITS Brewing,planning,,Chamblee,Georgia,30341-2024,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
ironbark-brewery-jackson,Ironbark Brewery,micro,2610 Kibby Rd,Jackson,Michigan,49203-4908,United States,"-84,43762976","42,2188971",5177487988,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
king-fox-brewery-hialeah,King Fox Brewery,planning,,Hialeah,Florida,33014-5231,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
la-funke-brewing-bulverde,La Funke Brewing,planning,,Bulverde,Texas,78163-4156,United States,,,2104602083,http://www.lafunke.com,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
long-way-brewing-radford,Long Way Brewing,planning,,Radford,Virginia,24141-1403,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
mallory-brewing-houston,Mallory Brewing,planning,,Houston,Texas,77018,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
lincoln-avenue-brewery-pittsburgh,Lincoln Avenue Brewery,planning,,Pittsburgh,Pennsylvania,15202,United States,,,4124274078,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
northwoods-brewing-co-northwood,Northwoods Brewing Co,planning,,Northwood,New Hampshire,3261,United States,,,2073516983,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
mobtown-brewing-co-baltimore,Mobtown Brewing Co,planning,,Baltimore,Maryland,21224-4716,United States,,,4104198312,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
ska-brewing-durango,SKA Brewing,regional,"225 Girard, Bodo Park",Durango,Colorado,81303-6827,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
snow-belt-brew-chardon,Snow Belt Brew,micro,9511 Kile Rd,Chardon,Ohio,44024,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
mosaic-brewing-lancaster,Mosaic Brewing,planning,,Lancaster,Ohio,43130-4308,United States,,,6149402500,http://www.double.edge.beer,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
straight-shot-brewing-poquoson,Straight Shot Brewing,planning,,Poquoson,Virginia,23662-0000,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
bnaf-llc-austin,"Bnaf, LLC",planning,,Austin,Texas,78727-7602,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
boulder-beer-co-boulder,Boulder Beer Co,regional,2880 Wilderness Pl,Boulder,Colorado,80301-5401,United States,"-105,2480158","40,026439",,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
clermont-brewing-company-clermont,Clermont Brewing Company,planning,,Clermont,Florida,34711-2108,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
dimensional-brewing-co-dubuque,Dimensional Brewing Co.,planning,,Dubuque,Iowa,52001,United States,,,,http://www.dimensionalbrewing.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
dixie-brewing-co-inc-new-orleans,Dixie Brewing Co Inc.,contract,6221 S Claiborne Ave Ste 101,New Orleans,Louisiana,70125-4191,United States,,,5048228711,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
epidemic-ales-concord,Epidemic Ales,micro,150 Mason Circle Stes I&J,Concord,California,94520,United States,,,9255668850,http://www.epidemicales.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
goose-island-philadelphia-philadelphia,Goose Island Philadelphia,brewpub,1002 Canal St,Philadelphia,Pennsylvania,19123,United States,"-75,13506341","39,9648491",,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
grits-brewing-chamblee,GRITS Brewing,planning,,Chamblee,Georgia,30341-2024,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
ironbark-brewery-jackson,Ironbark Brewery,micro,2610 Kibby Rd,Jackson,Michigan,49203-4908,United States,"-84,43762976","42,2188971",5177487988,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
king-fox-brewery-hialeah,King Fox Brewery,planning,,Hialeah,Florida,33014-5231,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
la-funke-brewing-bulverde,La Funke Brewing,planning,,Bulverde,Texas,78163-4156,United States,,,2104602083,http://www.lafunke.com,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
long-way-brewing-radford,Long Way Brewing,planning,,Radford,Virginia,24141-1403,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
mallory-brewing-houston,Mallory Brewing,planning,,Houston,Texas,77018,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
lincoln-avenue-brewery-pittsburgh,Lincoln Avenue Brewery,planning,,Pittsburgh,Pennsylvania,15202,United States,,,4124274078,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
northwoods-brewing-co-northwood,Northwoods Brewing Co,planning,,Northwood,New Hampshire,3261,United States,,,2073516983,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
mobtown-brewing-co-baltimore,Mobtown Brewing Co,planning,,Baltimore,Maryland,21224-4716,United States,,,4104198312,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
ska-brewing-durango,SKA Brewing,regional,"225 Girard, Bodo Park",Durango,Colorado,81303-6827,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
snow-belt-brew-chardon,Snow Belt Brew,micro,9511 Kile Rd,Chardon,Ohio,44024,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
mosaic-brewing-lancaster,Mosaic Brewing,planning,,Lancaster,Ohio,43130-4308,United States,,,6149402500,http://www.double.edge.beer,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
straight-shot-brewing-poquoson,Straight Shot Brewing,planning,,Poquoson,Virginia,23662-0000,United States,,,,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
twin-sisters-san-antonio,TWIN SISTERS,planning,,San Antonio,Texas,78210,United States,,,2108186515,,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
upslope-brewing-company-boulder,Upslope Brewing Company,planning,,Boulder,Colorado,80301,United States,,,3033961898,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
8th-ward-brewing-company-poughkeepsie,8th Ward Brewing Company,planning,,Poughkeepsie,New York,12603-3401,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
wild-east-brewing-co-brooklyn,Wild East Brewing Co.,planning,,Brooklyn,New York,11215-5511,United States,,,,http://www.wildeastbrewing.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
yachats-brewing-yachats,Yachats Brewing,brewpub,PO Box 308,Yachats,Oregon,97498-0308,United States,,,,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-56-brewing-company-knox,10-56 Brewing Company,micro,400 Brown Cir,Knox,Indiana,46534,United States,"-86,627954","41,289715",6308165790,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-bend,10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,United States,,,5415851007,http://www.10barrel.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-bend-2,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,United States,,,5415851007,,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-bend-pub-bend,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,United States,"-121,2809536","44,0912109",5415851007,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-boise-boise,10 Barrel Brewing Co - Boise,large,826 W Bannock St,Boise,Idaho,83702-5857,United States,"-116,202929","43,618516",2083445870,http://www.10barrel.com,2020-10-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-denver-denver,10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,United States,"-104,9853655","39,7592508",7205738992,,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-portland,10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,United States,"-122,6855056","45,5259786",5032241700,http://www.10barrel.com,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-barrel-brewing-co-san-diego,10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,United States,"-117,129593","32,714813",6195782311,http://10barrel.com,2018-08-23T00:00:00.000Z,2018-07-24T00:00:00.000Z
10-torr-distilling-and-brewing-reno,10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,United States,"-119,7732015","39,5171702",7755307014,http://www.10torr.com,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
101-brewery-quilcene,101 Brewery,brewpub,294793 US Highway 101,Quilcene,Washington,98376-9000,United States,,,3607656485,http://www.101brewery.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
101-north-brewing-company-petaluma,101 North Brewing Company,micro,1304 Scott St Ste D,Petaluma,California,94954-7100,United States,,,7077534934,http://www.101northbeer.com,2018-08-11T00:00:00.000Z,2018-07-24T00:00:00.000Z
105-west-brewing-co-castle-rock,105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109-1585,United States,"-104,8667206","39,38269495",3033257321,http://www.105westbrewing.com,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10k-brewing-anoka,10K Brewing,micro,2005 2nd Ave,Anoka,Minnesota,55303-2243,United States,"-93,38952559","45,19812039",7633924753,http://10KBrew.com,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
10th-district-brewing-company-abington,10th District Brewing Company,micro,491 Washington St,Abington,Massachusetts,02351-2419,United States,"-70,94594149","42,10591754",7813071554,http://www.10thdistrictbrewing.com,2018-08-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
11-below-brewing-company-houston,11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,United States,"-95,5186591","29,9515464",2814442337,http://www.11belowbrewing.com,2018-07-24T00:00:00.000Z,2018-07-24T00:00:00.000Z
